Block,Waktu (s)
1,0.021482229232788086
2,0.013036727905273438
3,0.012053966522216797
4,0.03313899040222168
5,0.007505178451538086
6,0.12424635887145996
7,0.13292264938354492
8,0.006504535675048828
9,0.00456547737121582
10,0.004504203796386719
11,0.052799224853515625
12,0.012508153915405273
13,0.09913754463195801
14,0.05223488807678223
15,0.14841628074645996
16,0.012086629867553711
17,0.05768775939941406
18,0.03610348701477051
19,0.3011143207550049
20,0.02862095832824707
21,0.04800868034362793
22,0.13930082321166992
23,0.08466053009033203
24,0.11392641067504883
25,0.2839953899383545
26,0.0
27,0.10031700134277344
28,0.09887170791625977
29,0.020966768264770508
30,0.08084845542907715
31,0.0030012130737304688
32,0.18034768104553223
33,0.09687423706054688
34,0.008512020111083984
35,0.038524627685546875
36,0.05548906326293945
37,0.05231070518493652
38,0.024348735809326172
39,0.01750922203063965
40,0.07748746871948242
41,0.027020692825317383
42,0.02302074432373047
43,0.03415727615356445
44,0.04009723663330078
45,0.08236384391784668
46,0.22927379608154297
47,0.03478288650512695
48,0.005505084991455078
49,0.002000570297241211
50,0.03551888465881348
51,0.004509449005126953
52,0.12735700607299805
53,0.1926584243774414
54,0.10677814483642578
55,0.03754448890686035
56,0.07077527046203613
57,0.01703667640686035
58,0.035054683685302734
59,0.0362095832824707
60,0.013510942459106445
61,0.04946589469909668
62,0.033106088638305664
63,0.005562782287597656
64,0.009088754653930664
65,0.010011672973632812
66,0.006085395812988281
67,0.04467415809631348
68,0.03465151786804199
69,0.054723501205444336
70,0.039942026138305664
71,0.04500722885131836
72,0.026609182357788086
73,0.15030455589294434
74,0.022850513458251953
75,0.014798879623413086
76,0.06405758857727051
77,0.06447792053222656
78,0.31093502044677734
79,0.05926060676574707
80,0.15505576133728027
81,0.0035059452056884766
82,0.038529396057128906
83,0.08071112632751465
84,0.01950836181640625
85,0.011005401611328125
86,0.04711341857910156
87,0.03828310966491699
88,0.05428957939147949
89,0.022017717361450195
90,0.030983448028564453
91,0.03819990158081055
92,0.04223752021789551
93,0.15678167343139648
94,0.02802872657775879
95,0.0805056095123291
96,0.018093109130859375
97,0.156630277633667
98,0.03477883338928223
99,0.053148508071899414
100,0.0320436954498291
101,0.008033514022827148
102,0.11767172813415527
103,0.0551755428314209
104,0.0462188720703125
105,0.016492605209350586
106,0.02704477310180664
107,0.02393198013305664
108,0.018996477127075195
109,0.0438542366027832
110,0.0005061626434326172
111,0.3564646244049072
112,0.0045049190521240234
113,0.05457901954650879
114,0.013541936874389648
115,0.008363723754882812
116,0.018215179443359375
117,0.010165214538574219
118,0.1089785099029541
119,0.012136220932006836
120,0.06257319450378418
121,0.04205894470214844
122,0.10694217681884766
123,0.22167706489562988
124,0.06958770751953125
125,0.2513387203216553
126,0.010512828826904297
127,0.013875007629394531
128,0.07459235191345215
129,0.009505748748779297
130,0.012005805969238281
131,0.038558244705200195
132,0.07660126686096191
133,0.009511470794677734
134,0.047388315200805664
135,0.027207136154174805
136,0.02493596076965332
137,0.024541616439819336
138,0.011152505874633789
139,0.01632976531982422
140,0.02774667739868164
141,0.23292851448059082
142,0.03803062438964844
143,0.05321931838989258
144,0.03867149353027344
145,0.12999677658081055
146,0.03603649139404297
147,0.09721946716308594
148,0.1095435619354248
149,0.05448412895202637
150,0.012005329132080078
151,0.03115701675415039
152,0.00550532341003418
153,0.028092622756958008
154,0.14957833290100098
155,0.046446800231933594
156,0.026057004928588867
157,0.1795642375946045
158,0.009004592895507812
159,0.0045032501220703125
160,0.004519939422607422
161,0.00450444221496582
162,0.04205465316772461
163,0.0010006427764892578
164,0.019472837448120117
165,0.04480791091918945
166,0.0010006427764892578
167,0.36275267601013184
168,0.00600123405456543
169,0.052718400955200195
170,0.013509035110473633
171,0.007700920104980469
172,0.017514467239379883
173,0.01000833511352539
174,0.11351752281188965
175,0.01300954818725586
176,0.06139397621154785
177,0.04182314872741699
178,0.11396479606628418
179,0.22775506973266602
