Block,Waktu (s)
1,0.005017757415771484
2,0.041173458099365234
3,0.020084857940673828
4,0.007515430450439453
5,0.045074462890625
6,0.01901841163635254
7,0.08770990371704102
8,0.014261960983276367
9,0.013756752014160156
10,0.008008956909179688
11,0.0660867691040039
12,0.11834955215454102
13,0.059333086013793945
14,0.13270878791809082
15,0.0033102035522460938
16,0.01954483985900879
17,0.0984346866607666
18,0.04817676544189453
19,0.04651331901550293
20,0.08155345916748047
21,0.1866769790649414
22,0.12522006034851074
23,0.0405580997467041
24,0.1623830795288086
25,0.05266857147216797
26,0.018032550811767578
27,0.04149603843688965
28,0.03669595718383789
29,0.05307173728942871
30,0.09107542037963867
31,0.07892942428588867
32,0.05690741539001465
33,0.1919689178466797
34,0.009027957916259766
35,0.06643819808959961
36,0.026307106018066406
37,0.027325868606567383
38,0.11336064338684082
39,0.0023190975189208984
40,0.04474067687988281
41,0.05574679374694824
42,0.0755012035369873
43,0.015543699264526367
44,0.008036375045776367
45,0.07976293563842773
46,0.2001945972442627
47,0.029938220977783203
48,0.03776717185974121
49,0.18873953819274902
50,0.29044365882873535
51,0.23589015007019043
52,0.13730549812316895
53,0.06972026824951172
54,0.05150580406188965
55,0.0879366397857666
56,0.1366739273071289
57,0.13737130165100098
58,0.0013127326965332031
59,0.12303304672241211
60,0.035028934478759766
61,0.034982919692993164
62,0.11804723739624023
63,0.0020003318786621094
64,0.14294934272766113
65,0.08784675598144531
66,0.08252954483032227
67,0.016631126403808594
68,0.15503883361816406
69,0.01002645492553711
70,0.006499528884887695
71,0.020522594451904297
72,0.017510414123535156
73,0.06947684288024902
74,0.13668179512023926
75,0.02704930305480957
76,0.01300501823425293
77,0.026525259017944336
78,0.0010006427764892578
79,0.0066258907318115234
80,0.025525331497192383
81,0.021549463272094727
82,0.3257579803466797
83,0.10415768623352051
84,0.03653836250305176
85,0.011517047882080078
86,0.07982468605041504
87,0.02602386474609375
88,0.28061985969543457
89,0.004389524459838867
90,0.05156874656677246
91,0.2570791244506836
92,0.009977102279663086
93,0.020033597946166992
94,0.08329653739929199
95,0.07108926773071289
96,0.04551434516906738
97,0.03901219367980957
98,0.06921696662902832
99,0.04987835884094238
100,0.03349924087524414
101,0.028983116149902344
102,0.0215151309967041
103,0.26077771186828613
104,0.02016448974609375
105,0.05034017562866211
106,0.029515743255615234
107,0.03460240364074707
108,0.03155851364135742
109,0.14121031761169434
110,0.019014596939086914
111,0.10814619064331055
112,0.03560948371887207
113,0.031520843505859375
114,0.017546892166137695
115,0.050113677978515625
116,0.033373355865478516
117,0.10745382308959961
118,0.026597261428833008
119,0.0320281982421875
120,0.11084389686584473
121,0.07128024101257324
122,0.03353285789489746
123,0.1475818157196045
124,0.01705002784729004
125,0.10821723937988281
126,0.01013326644897461
127,0.09284162521362305
128,0.05471086502075195
129,0.0535588264465332
130,0.025516510009765625
131,0.0675055980682373
132,0.017579078674316406
133,0.03278326988220215
134,0.14334583282470703
135,0.05002593994140625
136,0.06949138641357422
137,0.03021836280822754
138,0.018100976943969727
139,0.008598566055297852
140,0.10374975204467773
141,0.0034821033477783203
142,0.0257110595703125
143,0.07698583602905273
144,0.054561614990234375
145,0.03242683410644531
146,0.18312788009643555
147,0.05942535400390625
148,0.0433502197265625
149,0.09953880310058594
150,0.005009651184082031
151,0.1902751922607422
152,0.14918136596679688
153,0.06515288352966309
154,0.04356551170349121
155,0.07360196113586426
156,0.0045909881591796875
157,0.165940523147583
158,0.19672465324401855
159,0.0736696720123291
160,0.018436193466186523
161,0.053793907165527344
162,0.045766353607177734
163,0.006001710891723633
164,0.05472159385681152
165,0.00450444221496582
166,0.002000093460083008
167,0.04179978370666504
168,0.08034706115722656
169,0.05515623092651367
170,0.03274130821228027
171,0.013041973114013672
172,0.09014463424682617
173,0.01732635498046875
174,0.012013673782348633
175,0.01574563980102539
176,0.045031070709228516
177,0.14007925987243652
178,0.0205996036529541
179,0.027007102966308594
180,0.09264326095581055
181,0.013514041900634766
182,0.051451921463012695
183,0.005003452301025391
184,0.11931228637695312
185,0.04712104797363281
186,0.02349710464477539
187,0.00879669189453125
188,0.0830845832824707
189,0.011002779006958008
190,0.0
191,0.004460334777832031
192,0.1091451644897461
193,0.022776126861572266
194,0.02802586555480957
195,0.09073448181152344
196,0.13875198364257812
197,0.21635079383850098
198,0.015530109405517578
199,0.022504329681396484
200,0.044979095458984375
201,0.033557891845703125
202,0.10377359390258789
203,0.04189348220825195
204,0.0020322799682617188
205,0.10224699974060059
206,0.25791192054748535
207,0.011513471603393555
208,0.020769357681274414
209,0.028494596481323242
210,0.026007890701293945
211,0.10473346710205078
212,0.03864169120788574
213,0.0025031566619873047
214,0.0817410945892334
215,0.07189774513244629
216,0.0801076889038086
217,0.1745471954345703
218,0.1087641716003418
219,0.04214596748352051
220,0.006257772445678711
221,0.03917193412780762
222,0.07655644416809082
223,0.005036115646362305
224,0.009137392044067383
225,0.016007661819458008
226,0.1539306640625
227,0.010867834091186523
228,0.007470846176147461
229,0.020848751068115234
230,0.01865243911743164
231,0.06941938400268555
232,0.13629841804504395
233,0.027047157287597656
234,0.01343679428100586
235,0.027353286743164062
236,0.00150299072265625
237,0.006502389907836914
238,0.026694774627685547
239,0.023234128952026367
240,0.31823062896728516
241,0.10280942916870117
242,0.03674173355102539
243,0.011512279510498047
244,0.08104062080383301
245,0.02779841423034668
246,0.2841486930847168
247,0.004500627517700195
248,0.05335569381713867
249,0.25957489013671875
250,0.011498689651489258
251,0.02061772346496582
252,0.0846097469329834
253,0.0706942081451416
254,0.045419931411743164
255,0.04231619834899902
256,0.06467103958129883
257,0.05112576484680176
258,0.03389239311218262
259,0.029392719268798828
260,0.016529321670532227
261,0.24930787086486816
262,0.020595550537109375
263,0.053171634674072266
264,0.031967878341674805
265,0.035069942474365234
266,0.03203940391540527
267,0.14348745346069336
268,0.02001500129699707
269,0.11759710311889648
270,0.03753805160522461
271,0.0326998233795166
272,0.02304530143737793
273,0.06783080101013184
274,0.03510093688964844
275,0.13082456588745117
276,0.026005983352661133
277,0.03554368019104004
278,0.11125731468200684
279,0.0723724365234375
280,0.03678631782531738
281,0.15928268432617188
282,0.016970157623291016
283,0.10651016235351562
284,0.011657476425170898
285,0.09242081642150879
286,0.0569918155670166
287,0.0660245418548584
288,0.029854297637939453
289,0.06707000732421875
290,0.019024372100830078
291,0.031091690063476562
292,0.13651180267333984
293,0.048940181732177734
294,0.06415486335754395
295,0.030051469802856445
296,0.018310070037841797
297,0.010111093521118164
298,0.10576653480529785
299,0.0030014514923095703
300,0.022513151168823242
301,0.0733339786529541
302,0.05437493324279785
303,0.030511856079101562
304,0.17877602577209473
305,0.05229830741882324
306,0.04436898231506348
307,0.09961533546447754
308,0.005280494689941406
309,0.1909010410308838
310,0.14683818817138672
311,0.06332063674926758
312,0.04376363754272461
313,0.06753826141357422
314,0.004503726959228516
315,0.166778564453125
316,0.17853355407714844
317,0.0724935531616211
318,0.016516923904418945
319,0.05295252799987793
320,0.04331493377685547
321,0.006520509719848633
322,0.05464339256286621
323,0.003994464874267578
324,0.0010004043579101562
325,0.04079699516296387
326,0.07973098754882812
327,0.05325937271118164
328,0.03211617469787598
329,0.013399600982666016
330,0.09170818328857422
331,0.017014026641845703
332,0.014638423919677734
333,0.014280557632446289
334,0.042279720306396484
335,0.1330268383026123
336,0.0220792293548584
337,0.029215097427368164
338,0.08207178115844727
339,0.01202249526977539
340,0.04367780685424805
341,0.0055010318756103516
342,0.11393451690673828
343,0.04594826698303223
344,0.021526336669921875
345,0.01002955436706543
346,0.10091304779052734
347,0.010499238967895508
348,0.0010008811950683594
349,0.003504037857055664
350,0.11167383193969727
351,0.024265766143798828
352,0.0271303653717041
353,0.08282995223999023
354,0.11878561973571777
355,0.21351265907287598
356,0.015008687973022461
357,0.01903676986694336
358,0.04765510559082031
359,0.03256845474243164
360,0.10236287117004395
361,0.04123187065124512
362,0.0015037059783935547
363,0.10364603996276855
364,0.28377366065979004
365,0.01659870147705078
366,0.023278236389160156
367,0.029529333114624023
368,0.025659799575805664
369,0.12483096122741699
370,0.044065237045288086
371,0.002505064010620117
372,0.07855916023254395
373,0.0708768367767334
374,0.07442378997802734
375,0.17436742782592773
376,0.11241292953491211
377,0.04288816452026367
378,0.006013393402099609
379,0.04055190086364746
380,0.07514333724975586
381,0.0055162906646728516
382,0.007576704025268555
383,0.01652240753173828
384,0.1524043083190918
385,0.01074981689453125
386,0.006534099578857422
387,0.0226442813873291
388,0.020221471786499023
389,0.0739591121673584
390,0.14062929153442383
391,0.029347896575927734
392,0.014015674591064453
393,0.026961326599121094
394,0.0009951591491699219
395,0.006013631820678711
396,0.0250241756439209
397,0.023035049438476562
398,0.31964850425720215
399,0.10536050796508789
400,0.03600358963012695
401,0.011011123657226562
402,0.07924699783325195
403,0.02831888198852539
404,0.27780628204345703
405,0.00532078742980957
406,0.055213212966918945
407,0.25963425636291504
408,0.010507345199584961
409,0.019524097442626953
410,0.08590459823608398
411,0.07019305229187012
412,0.04427790641784668
413,0.040130615234375
414,0.06557655334472656
415,0.0646510124206543
416,0.03329014778137207
417,0.02829599380493164
418,0.017095327377319336
419,0.2734529972076416
420,0.022529125213623047
421,0.0641791820526123
422,0.03057241439819336
423,0.03722739219665527
424,0.03202176094055176
425,0.15140295028686523
426,0.02256178855895996
427,0.11287784576416016
428,0.03471016883850098
429,0.0350649356842041
430,0.019010543823242188
431,0.05250263214111328
432,0.03301095962524414
433,0.10785245895385742
434,0.02705216407775879
435,0.033466339111328125
436,0.11373114585876465
437,0.07576775550842285
438,0.03419947624206543
439,0.1459794044494629
440,0.016644716262817383
441,0.09983181953430176
442,0.01016092300415039
443,0.08960342407226562
444,0.053904056549072266
445,0.05343770980834961
446,0.025014638900756836
447,0.06207394599914551
448,0.01852893829345703
449,0.029514074325561523
450,0.13922476768493652
451,0.04912400245666504
452,0.0703277587890625
453,0.027550697326660156
454,0.01769709587097168
455,0.01201939582824707
456,0.1048271656036377
457,0.0029985904693603516
458,0.02251744270324707
459,0.0762479305267334
460,0.056601762771606445
461,0.0316462516784668
462,0.17909812927246094
463,0.048581600189208984
464,0.04386448860168457
465,0.09688878059387207
466,0.007512092590332031
467,0.18609166145324707
468,0.16222453117370605
469,0.06676483154296875
470,0.051543235778808594
471,0.06932926177978516
472,0.007505178451538086
473,0.16486382484436035
474,0.19049334526062012
475,0.07635831832885742
476,0.01957988739013672
477,0.05224108695983887
478,0.05112648010253906
479,0.007529258728027344
480,0.05274820327758789
481,0.004503488540649414
482,0.0010004043579101562
483,0.04164838790893555
484,0.07886147499084473
485,0.05196118354797363
486,0.03188920021057129
487,0.014098167419433594
488,0.0950312614440918
489,0.017169952392578125
490,0.01164102554321289
491,0.013992547988891602
492,0.04192042350769043
493,0.14970684051513672
494,0.02097010612487793
495,0.0270388126373291
496,0.08948802947998047
497,0.012441396713256836
498,0.04182314872741699
499,0.005010128021240234
500,0.11757683753967285
